,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,почему,россия,мало,школа,нация,корабль,начинаться,ребята,вообще,трек,военный,юрий,понравиться,почему
1,ребенок,жить,дорога,слава,город,который,песня,ролик,хотеться,юрий,хотеть,многие,заканчиваться,браво
2,хотеть,друг,тепер,человек,корабль,красивый,отец,самый,человек,говорить,который,ролик,смотреть,достойный
3,давать,адекватный,пока,слово,видеть,кремль,русский,респект,ютуб,нравиться,нато,бояться,знать,жаль
4,думать,мнение,китай,твой,народ,кровь,солдат,украина,далеко,полный,против,поддержка,пересматривать,великий
5,говорить,война,думать,душа,побеждать,кроме,стрелять,весь,который,похожий,путин,стас,вова,смысл
6,знать,убивать,коли,сказать,смерть,время,мена,жизнь,канал,крутой,русский,правда,весь,солдат
7,сказать,говорить,жить,коли,герой,последний,супер,главное,понимать,голос,война,видео,посмотреть,группа
8,страна,который,мена,день,украина,прямой,хотеть,выпуск,слушать,интервью,украина,огромный,снимать,петь
9,свой,человек,расти,дякий,слава,лайк,просто,хороший,смотреть,очень,россия,спасибо,фильм,песня
